name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total
Ripon College,Wisconsin,WI,Private,4 Year,8400,43808,52208,43808,52208
Roanoke College,Virginia,VA,Private,4 Year,13690,44030,57720,44030,57720
Rockhurst University,Missouri,MO,Private,4 Year,10200,37590,47790,37590,47790
Rocky Mountain College,Montana,MT,Private,4 Year,8330,28512,36842,28512,36842
Rogers State University,Oklahoma,OK,Public,4 Year,8616,6870,15486,15210,23826
Rollins College,Florida,FL,Private,4 Year,14735,49760,64495,49760,64495
Rose-Hulman Institute of Technology,Indiana,IN,Private,4 Year,14766,49871,64637,49871,64637
Rush University,Illinois,IL,Private,4 Year,NA,24900,24900,24900,24900
Rust College,Mississippi,MS,Private,4 Year,4300,9900,14200,9900,14200
Sacred Heart University,Connecticut,CT,Private,4 Year,15310,41420,56730,41420,56730
Saginaw Valley State University,Michigan,MI,Public,4 Year,10186,10308,20494,24215,34401
Saint Cloud State University,Minnesota,MN,Public,4 Year,8900,8912,17812,17146,26046
Saint Joseph's College of Maine,Maine,ME,Private,4 Year,13680,35650,49330,35650,49330
Saint Joseph's University,Pennsylvania,PA,Private,4 Year,14840,44973,59813,44973,59813
Saint Louis University,Missouri,MO,Private,4 Year,12290,43884,56174,43884,56174
Saint Martin's University,Washington,WA,Private,4 Year,11445,37356,48801,37356,48801
Saint Mary's College,Indiana,IN,Private,4 Year,12580,42220,54800,42220,54800
Saint Mary's College of California,California,CA,Private,4 Year,15370,47280,62650,47280,62650
Saint Michael's College,Vermont,VT,Private,4 Year,12220,45375,57595,45375,57595
Saint Xavier University,Illinois,IL,Private,4 Year,11340,33880,45220,33880,45220
Salisbury University,Maryland,MD,Public,4 Year,11950,9824,21774,19526,31476
Samford University,Alabama,AL,Private,4 Year,10550,31650,42200,31650,42200
San Jose State University,California,CA,Public,4 Year,16442,7796,24238,17300,33742
Santa Clara University,California,CA,Private,4 Year,14910,51711,66621,51711,66621
Savannah College of Art and Design,Georgia,GA,Private,4 Year,14550,36630,51180,36630,51180
Seattle Pacific University,Washington,WA,Private,4 Year,11796,42939,54735,42939,54735
Seattle University,Washington,WA,Private,4 Year,12288,44610,56898,44610,56898
Shenandoah University,Virginia,VA,Private,4 Year,10370,32530,42900,32530,42900
Shorter University,Georgia,GA,Private,4 Year,9400,22370,31770,22370,31770
Sierra Nevada College,Nevada,NV,Private,4 Year,13357,34241,47598,34241,47598
Simpson College,Iowa,IA,Private,4 Year,8380,39144,47524,39144,47524
Smith College,Massachusetts,MA,Private,4 Year,17520,52404,69924,52404,69924
Southeast Missouri State University,Missouri,MO,Public,4 Year,8935,7418,16353,13155,22090
Southeastern Louisiana University,Louisiana,LA,Public,4 Year,8420,8165,16585,20643,29063
Southeastern Oklahoma State University,Oklahoma,OK,Public,4 Year,6970,6750,13720,15390,22360
Southern Adventist University,Tennessee,TN,Private,4 Year,6940,21950,28890,21950,28890
Southern Connecticut State University,Connecticut,CT,Public,4 Year,12860,10875,23735,22115,34975
Southern Methodist University,Texas,TX,Private,4 Year,16845,54493,71338,54493,71338
Southern Nazarene University,Oklahoma,OK,Private,4 Year,8496,25188,33684,25188,33684
Southern Oregon University,Oregon,OR,Public,4 Year,13199,9654,22853,25584,38783
Southern University at New Orleans,Louisiana,LA,Public,4 Year,9040,9371,18411,11160,20200
Southern Utah University,Utah,UT,Public,4 Year,7090,6769,13859,20585,27675
Southern Vermont College,Vermont,VT,Private,4 Year,11000,25511,36511,25511,36511
Southwestern Oklahoma State University,Oklahoma,OK,Public,4 Year,5830,7035,12865,13935,19765
Southwestern University,Texas,TX,Private,4 Year,12000,42000,54000,42000,54000
Spalding University,Kentucky,KY,Private,4 Year,7600,24500,32100,24500,32100
Spelman College,Georgia,GA,Private,4 Year,13865,29314,43179,29314,43179
Spring Hill College,Alabama,AL,Private,4 Year,13462,39464,52926,39464,52926
St. John's College,Maryland,MD,Private,4 Year,12602,53218,65820,53218,65820
St. Mary's University,Texas,TX,Private,4 Year,10270,30650,40920,30650,40920
Stanford University,California,CA,Private,4 Year,15763,51354,67117,51354,67117
Stephens College,Missouri,MO,Private,4 Year,10632,30950,41582,30950,41582
Sterling College,Kansas,KS,Private,4 Year,8280,26000,34280,26000,34280
Stetson University,Florida,FL,Private,4 Year,13052,46030,59082,46030,59082
Stevenson University,Maryland,MD,Private,4 Year,13130,36182,49312,36182,49312
Stonehill College,Massachusetts,MA,Private,4 Year,16000,42746,58746,42746,58746
Swarthmore College,Pennsylvania,PA,Private,4 Year,15474,52588,68062,52588,68062
Tabor College,Kansas,KS,Private,4 Year,9850,28245,38095,28245,38095
Taylor University,Indiana,IN,Private,4 Year,9614,34114,43728,34114,43728
Tennessee State University,Tennessee,TN,Public,4 Year,7806,8008,15814,21364,29170
Tennessee Technological University,Tennessee,TN,Public,4 Year,9736,9103,18839,25759,35495
Texas A&M University-Kingsville,Texas,TX,Public,4 Year,8760,8462,17222,20912,29672
Texas Christian University,Texas,TX,Private,4 Year,12804,46950,59754,46950,59754
Texas Tech University,Texas,TX,Public,4 Year,9530,11045,20575,23495,33025
Texas Tech University Health Sciences Center,Texas,TX,Public,4 Year,NA,7911,7911,20361,20361
The King's University,Texas,TX,Private,4 Year,NA,15000,15000,15000,15000
Thomas College,Maine,ME,Private,4 Year,11250,26900,38150,26900,38150
Thomas More College,Kentucky,KY,Private,4 Year,7950,31120,39070,31120,39070
Tougaloo College,Mississippi,MS,Private,4 Year,6643,10790,17433,10790,17433
Towson University,Maryland,MD,Public,4 Year,13034,9940,22974,23208,36242
Transylvania University,Kentucky,KY,Private,4 Year,10460,38750,49210,38750,49210
Trevecca Nazarene University,Tennessee,TN,Private,4 Year,8400,25598,33998,25598,33998
Trine University,Indiana,IN,Private,4 Year,10810,32175,42985,32175,42985
Trinity College,Connecticut,CT,Private,4 Year,14750,56910,71660,56910,71660
Trinity University,Texas,TX,Private,4 Year,13464,42976,56440,42976,56440
Troy University,Alabama,AL,Public,4 Year,8185,12460,20645,22875,31060
Truman State University,Missouri,MO,Public,4 Year,8780,7729,16509,14581,23361
Tufts University,Massachusetts,MA,Private,4 Year,14560,56382,70942,56382,70942
Tuskegee University,Alabama,AL,Private,4 Year,9650,22170,31820,22170,31820
Union University,Tennessee,TN,Private,4 Year,10200,32890,43090,32890,43090
Unity College,Maine,ME,Private,4 Year,10710,29160,39870,29160,39870
University of Alabama at Birmingham,Alabama,AL,Public,4 Year,6400,10710,17110,24630,31030
University of Alabama in Huntsville,Alabama,AL,Public,4 Year,10094,10714,20808,22362,32456
University of Alaska Anchorage,Alaska,AK,Public,4 Year,12200,7688,19888,23858,36058
University of Alaska Fairbanks,Alaska,AK,Public,4 Year,8930,8087,17017,24257,33187
University of Arizona,Arizona,AZ,Public,4 Year,12550,12487,25037,36386,48936
University of Arkansas,Arkansas,AR,Public,4 Year,11020,9130,20150,25168,36188
University of Arkansas at Little Rock,Arkansas,AR,Public,4 Year,8930,8966,17896,21206,30136
University of Arkansas at Monticello,Arkansas,AR,Public,4 Year,6824,7696,14520,13546,20370
University of Arkansas at Pine Bluff,Arkansas,AR,Public,4 Year,7881,7842,15723,14094,21975
University of Arkansas for Medical Sciences,Arkansas,AR,Public,4 Year,NA,8197,8197,15973,15973
University of Baltimore,Maryland,MD,Public,4 Year,NA,8958,8958,21076,21076
University of Bridgeport,Connecticut,CT,Private,4 Year,13860,32850,46710,32850,46710
University of Central Arkansas,Arkansas,AR,Public,4 Year,6854,8751,15605,15274,22128
University of Central Florida,Florida,FL,Public,4 Year,9617,6368,15985,22467,32084
University of Central Missouri,Missouri,MO,Public,4 Year,8766,7673,16439,14442,23208
University of Central Oklahoma,Oklahoma,OK,Public,4 Year,7970,7488,15458,18376,26346
University of Chicago,Illinois,IL,Private,4 Year,16350,58230,74580,58230,74580
University of Colorado Boulder,Colorado,CO,Public,4 Year,14418,12532,26950,37286,51704
University of Colorado Colorado Springs,Colorado,CO,Public,4 Year,10500,10463,20963,24893,35393
University of Connecticut,Connecticut,CT,Public,4 Year,12874,15730,28604,38098,50972
University of Dallas,Texas,TX,Private,4 Year,12400,40652,53052,40652,53052
University of Dayton,Ohio,OH,Private,4 Year,13580,42900,56480,42900,56480
University of Delaware,Delaware,DE,Public,4 Year,12862,13680,26542,34310,47172
University of Denver,Colorado,CO,Private,4 Year,13005,50556,63561,50556,63561
University of Detroit Mercy,Michigan,MI,Private,4 Year,9496,28000,37496,28000,37496
University of Dubuque,Iowa,IA,Private,4 Year,9930,34110,44040,34110,44040
University of Evansville,Indiana,IN,Private,4 Year,12460,36416,48876,36416,48876
University of Florida,Florida,FL,Public,4 Year,10120,6381,16501,28658,38778
University of Georgia,Georgia,GA,Public,4 Year,10038,11830,21868,30404,40442
University of Hartford,Connecticut,CT,Private,4 Year,12476,40694,53170,40694,53170
University of Hawaii at Hilo,Hawaii,HI,Public,4 Year,11406,7720,19126,20680,32086
University of Hawaii at Manoa,Hawaii,HI,Public,4 Year,13689,11970,25659,34002,47691
University of Holy Cross,Louisiana,LA,Private,4 Year,NA,17300,17300,17300,17300
University of Houston,Texas,TX,Public,4 Year,10270,12506,22776,27956,38226
University of Houston-Clear Lake,Texas,TX,Public,4 Year,NA,8500,8500,24731,24731
University of Idaho,Idaho,ID,Public,4 Year,8880,7864,16744,25500,34380
University of Illinois at Chicago,Illinois,IL,Public,4 Year,12074,13764,25838,26980,39054
University of Illinois at Urbana-Champaign,Illinois,IL,Public,4 Year,11308,15094,26402,31664,42972
University of Indianapolis,Indiana,IN,Private,4 Year,10288,29688,39976,29688,39976
University of Iowa,Iowa,IA,Public,4 Year,11172,9267,20439,31233,42405
University of Kansas,Kansas,KS,Public,4 Year,10350,11148,21498,27358,37708
University of Kentucky,Kentucky,KY,Public,4 Year,12982,12245,25227,29099,42081
University of Louisiana at Lafayette,Louisiana,LA,Public,4 Year,8516,10616,19132,24344,32860
University of Louisiana at Monroe,Louisiana,LA,Public,4 Year,7850,8734,16584,20834,28684
University of Louisville,Kentucky,KY,Public,4 Year,9226,11656,20882,27278,36504
University of Maine,Maine,ME,Public,4 Year,10418,11170,21588,30970,41388
University of Maine at Augusta,Maine,ME,Public,4 Year,NA,7988,7988,17918,17918
University of Maine at Farmington,Maine,ME,Public,4 Year,9726,9666,19392,19778,29504
University of Maine at Fort Kent,Maine,ME,Public,4 Year,8220,8115,16335,12315,20535
University of Maine at Machias,Maine,ME,Public,4 Year,8486,7840,16326,15100,23586
University of Maine at Presque Isle,Maine,ME,Public,4 Year,8406,8035,16441,12235,20641
University of Mary Washington,Virginia,VA,Public,4 Year,11118,12188,23306,27434,38552
University of Memphis,Tennessee,TN,Public,4 Year,9975,9701,19676,21413,31388
University of Miami,Florida,FL,Private,4 Year,14108,50226,64334,50226,64334
University of Mississippi,Mississippi,MS,Public,4 Year,10696,8660,19356,24614,35310
University of Mobile,Alabama,AL,Private,4 Year,9600,22820,32420,22820,32420
University of Montevallo,Alabama,AL,Public,4 Year,9330,12760,22090,25780,35110
University of Mount Union,Ohio,OH,Private,4 Year,10200,31260,41460,31260,41460
University of Nebraska Medical Center,Nebraska,NE,Public,4 Year,NA,11558,11558,28898,28898
University of New England,Maine,ME,Private,4 Year,13990,37620,51610,37620,51610
University of New Haven,Connecticut,CT,Private,4 Year,15900,39270,55170,39270,55170
University of New Orleans,Louisiana,LA,Public,4 Year,10575,9054,19629,13890,24465
University of North Alabama,Alabama,AL,Public,4 Year,9200,10370,19570,18680,27880
University of North Florida,Florida,FL,Public,4 Year,9976,6394,16370,20112,30088
University of North Georgia,Georgia,GA,Public,4 Year,7876,7336,15212,21148,29024
University of Northern Colorado,Colorado,CO,Public,4 Year,11204,9786,20990,21474,32678
University of Northern Iowa,Iowa,IA,Public,4 Year,8948,8938,17886,19480,28428
University of Notre Dame,Indiana,IN,Private,4 Year,15410,53391,68801,53391,68801
University of Oregon,Oregon,OR,Public,4 Year,12963,11898,24861,35478,48441
University of Pennsylvania,Pennsylvania,PA,Private,4 Year,15616,55584,71200,55584,71200
University of Pikeville,Kentucky,KY,Private,4 Year,7800,20950,28750,20950,28750
University of Portland,Oregon,OR,Private,4 Year,13450,45904,59354,45904,59354
University of Puget Sound,Washington,WA,Private,4 Year,12540,49776,62316,49776,62316
University of Richmond,Virginia,VA,Private,4 Year,12250,52610,64860,52610,64860
University of Saint Joseph,Connecticut,CT,Private,4 Year,11428,39173,50601,39173,50601
University of San Diego,California,CA,Private,4 Year,12980,49358,62338,49358,62338
University of San Francisco,California,CA,Private,4 Year,14830,48066,62896,48066,62896
University of Science and Arts of Oklahoma,Oklahoma,OK,Public,4 Year,6350,7215,13565,17565,23915
University of Scranton,Pennsylvania,PA,Private,4 Year,15182,44532,59714,44532,59714
University of South Alabama,Alabama,AL,Public,4 Year,7620,9870,17490,19740,27360
University of Southern California,California,CA,Private,4 Year,15395,56225,71620,56225,71620
University of Southern Maine,Maine,ME,Public,4 Year,9450,9520,18970,22780,32230
University of Southern Mississippi,Mississippi,MS,Public,4 Year,9857,8734,18591,10734,20591
University of the Cumberlands,Kentucky,KY,Private,4 Year,9000,23000,32000,23000,32000
University of the Ozarks,Arkansas,AR,Private,4 Year,7400,24230,31630,24230,31630
University of the Sciences,Pennsylvania,PA,Private,4 Year,15938,25000,40938,25000,40938
University of Toledo,Ohio,OH,Public,4 Year,11434,9795,21229,19133,30567
University of Tulsa,Oklahoma,OK,Private,4 Year,11116,41509,52625,41509,52625
University of Utah,Utah,UT,Public,4 Year,10262,9222,19484,29215,39477
University of Vermont,Vermont,VT,Public,4 Year,12462,18276,30738,42516,54978
University of West Alabama,Alabama,AL,Public,4 Year,8116,10040,18156,18490,26606
University of West Georgia,Georgia,GA,Public,4 Year,10918,7292,18210,20774,31692
University of Wisconsin-Eau Claire,Wisconsin,WI,Public,4 Year,7813,8820,16633,17096,24909
University of Wisconsin-La Crosse,Wisconsin,WI,Public,4 Year,6331,9106,15437,17924,24255
University of Wisconsin-Madison,Wisconsin,WI,Public,4 Year,11114,10555,21669,36805,47919
University of Wisconsin-Milwaukee,Wisconsin,WI,Public,4 Year,10728,11084,21812,22364,33092
University of Wisconsin-Oshkosh,Wisconsin,WI,Public,4 Year,7448,8820,16268,16393,23841
University of Wisconsin-Parkside,Wisconsin,WI,Public,4 Year,8026,7529,15555,15518,23544
University of Wisconsin-Platteville,Wisconsin,WI,Public,4 Year,7580,7571,15151,15421,23001
University of Wisconsin-River Falls,Wisconsin,WI,Public,4 Year,6513,7862,14375,15435,21948
University of Wisconsin-Stout,Wisconsin,WI,Public,4 Year,6924,9457,16381,17423,24347
University of Wisconsin-Whitewater,Wisconsin,WI,Public,4 Year,6786,7692,14478,16265,23051
University of Wyoming,Wyoming,WY,Public,4 Year,10320,5400,15720,17490,27810
Upper Iowa University,Iowa,IA,Private,4 Year,8454,30450,38904,30450,38904
Ursinus College,Pennsylvania,PA,Private,4 Year,12750,52050,64800,52050,64800
Utah State University,Utah,UT,Public,4 Year,6400,7424,13824,21505,27905
Utah Valley University,Utah,UT,Public,4 Year,NA,5726,5726,16296,16296
Valdosta State University,Georgia,GA,Public,4 Year,8110,7476,15586,20958,29068
Valparaiso University,Indiana,IN,Private,4 Year,11860,40260,52120,40260,52120
Vanderbilt University,Tennessee,TN,Private,4 Year,16234,49816,66050,49816,66050
Vermont Technical College,Vermont,VT,Public,4 Year,10598,15108,25706,27780,38378
Villanova University,Pennsylvania,PA,Private,4 Year,14020,53308,67328,53308,67328
Virginia Commonwealth University,Virginia,VA,Public,4 Year,10428,14490,24918,35138,45566
Virginia Military Institute,Virginia,VA,Public,4 Year,9428,18862,28290,45706,55134
Virginia Polytechnic Institute and State University,Virginia,VA,Public,4 Year,8934,13620,22554,31304,40238
Virginia State University,Virginia,VA,Public,4 Year,11208,9056,20264,19576,30784
Viterbo University,Wisconsin,WI,Private,4 Year,9060,27970,37030,27970,37030
Wabash College,Indiana,IN,Private,4 Year,10050,43450,53500,43450,53500
Walla Walla University,Washington,WA,Private,4 Year,4275,28035,32310,28035,32310
Walsh College of Accountancy and Business Administration,Michigan,MI,Private,4 Year,NA,17625,17625,17625,17625
Wartburg College,Iowa,IA,Private,4 Year,9996,41280,51276,41280,51276
Washburn University,Kansas,KS,Public,4 Year,8237,8870,17107,19940,28177
Washington Adventist University,Maryland,MD,Private,4 Year,9370,23900,33270,23900,33270
Washington and Lee University,Virginia,VA,Private,4 Year,13925,52455,66380,52455,66380
Washington College,Maryland,MD,Private,4 Year,12414,46978,59392,46978,59392
Washington State University,Washington,WA,Public,4 Year,11398,11581,22979,26365,37763
Wayne State College,Nebraska,NE,Public,4 Year,7668,6989,14657,12299,19967
Wayne State University,Michigan,MI,Public,4 Year,10427,13347,23774,28241,38668
Weber State University,Utah,UT,Public,4 Year,6279,5831,12110,16585,22864
Webster University,Missouri,MO,Private,4 Year,11050,27900,38950,27900,38950
Wellesley College,Massachusetts,MA,Private,4 Year,16468,53732,70200,53732,70200
Wentworth Institute of Technology,Massachusetts,MA,Private,4 Year,14190,33950,48140,33950,48140
Wesley College,Delaware,DE,Private,4 Year,11717,26406,38123,26406,38123
Wesleyan University,Connecticut,CT,Private,4 Year,15060,54914,69974,54914,69974
Western Connecticut State University,Connecticut,CT,Public,4 Year,13072,10819,23891,22059,35131
Western Governors University,Utah,UT,Private,4 Year,NA,6670,6670,6670,6670
Western Kentucky University,Kentucky,KY,Public,4 Year,8343,10602,18945,26496,34839
Western Michigan University,Michigan,MI,Public,4 Year,10143,12483,22626,15373,25516
Western New England University,Massachusetts,MA,Private,4 Year,13590,36804,50394,36804,50394
Western Oregon University,Oregon,OR,Public,4 Year,10415,9540,19955,26415,36830
Western State Colorado University,Colorado,CO,Public,4 Year,9635,10114,19749,21586,31221
Western Washington University,Washington,WA,Public,4 Year,11466,8132,19598,23544,35010
Whitman College,Washington,WA,Private,4 Year,13174,51764,64938,51764,64938
Whitworth University,Washington,WA,Private,4 Year,11496,43640,55136,43640,55136
Wichita State University,Kansas,KS,Public,4 Year,11252,8271,19523,17452,28704
Widener University,Pennsylvania,PA,Private,4 Year,14446,45948,60394,45948,60394
Willamette University,Oregon,OR,Private,4 Year,12440,50074,62514,50074,62514
William Carey University,Mississippi,MS,Private,4 Year,6810,12600,19410,12600,19410
William Jewell College,Missouri,MO,Private,4 Year,9930,34400,44330,34400,44330
William Penn University,Iowa,IA,Private,4 Year,6952,25600,32552,25600,32552
Williams College,Massachusetts,MA,Private,4 Year,14500,55450,69950,55450,69950
Wilmington University,Delaware,DE,Private,4 Year,NA,11210,11210,11210,11210
Winona State University,Minnesota,MN,Public,4 Year,9010,9425,18435,15348,24358
Wisconsin Lutheran College,Wisconsin,WI,Private,4 Year,10190,29725,39915,29725,39915
Wittenberg University,Ohio,OH,Private,4 Year,10356,39500,49856,39500,49856
Worcester Polytechnic Institute,Massachusetts,MA,Private,4 Year,14774,50530,65304,50530,65304
Xavier University,Ohio,OH,Private,4 Year,12780,38530,51310,38530,51310
Xavier University of Louisiana,Louisiana,LA,Private,4 Year,9047,24488,33535,24488,33535
Yale University,Connecticut,CT,Private,4 Year,16000,53430,69430,53430,69430
